"filename", "language", "pip requirements", "Shell Script", "Python", "Batch", "JavaScript", "CSS", "JSON", "Ini", "Ignore", "comment", "blank", "total"
"c:\Users\Administrator\open-webui\backend\open_webui\migrations\versions\c29facfe716b_update_file_table_path.py", "Python", 0, 0, 48, 0, 0, 0, 0, 0, 0, 14, 18, 80
"c:\Users\Administrator\open-webui\backend\open_webui\migrations\versions\c69f45358db4_add_folder_table.py", "Python", 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 11, 51
"c:\Users\Administrator\open-webui\backend\open_webui\migrations\versions\ca81bd47c050_add_config_table.py", "Python", 0, 0, 31, 0, 0, 0, 0, 0, 0, 1, 10, 42
"c:\Users\Administrator\open-webui\backend\open_webui\models\auths.py", "Python", 0, 0, 148, 0, 0, 0, 0, 0, 0, 8, 51, 207
"c:\Users\Administrator\open-webui\backend\open_webui\models\channels.py", "Python", 0, 0, 98, 0, 0, 0, 0, 0, 0, 6, 33, 137
"c:\Users\Administrator\open-webui\backend\open_webui\models\chats.py", "Python", 0, 0, 733, 0, 0, 0, 0, 0, 0, 30, 150, 913
"c:\Users\Administrator\open-webui\backend\open_webui\models\feedbacks.py", "Python", 0, 0, 205, 0, 0, 0, 0, 0, 0, 6, 44, 255
"c:\Users\Administrator\open-webui\backend\open_webui\models\files.py", "Python", 0, 0, 179, 0, 0, 0, 0, 0, 0, 6, 51, 236
"c:\Users\Administrator\open-webui\backend\open_webui\models\folders.py", "Python", 0, 0, 210, 0, 0, 0, 0, 0, 0, 9, 53, 272
"c:\Users\Administrator\open-webui\backend\open_webui\models\functions.py", "Python", 0, 0, 222, 0, 0, 0, 0, 0, 0, 9, 44, 275
"c:\Users\Administrator\open-webui\backend\open_webui\models\groups.py", "Python", 0, 0, 160, 0, 0, 0, 0, 0, 0, 6, 46, 212
"c:\Users\Administrator\open-webui\backend\open_webui\models\knowledge.py", "Python", 0, 0, 156, 0, 0, 0, 0, 0, 0, 21, 45, 222
"c:\Users\Administrator\open-webui\backend\open_webui\models\memories.py", "Python", 0, 0, 105, 0, 0, 0, 0, 0, 0, 6, 27, 138
"c:\Users\Administrator\open-webui\backend\open_webui\models\messages.py", "Python", 0, 0, 214, 0, 0, 0, 0, 0, 0, 8, 58, 280
"c:\Users\Administrator\open-webui\backend\open_webui\models\models.py", "Python", 0, 0, 187, 0, 0, 0, 0, 0, 0, 24, 63, 274
"c:\Users\Administrator\open-webui\backend\open_webui\models\prompts.py", "Python", 0, 0, 107, 0, 0, 0, 0, 0, 0, 21, 32, 160
"c:\Users\Administrator\open-webui\backend\open_webui\models\tags.py", "Python", 0, 0, 81, 0, 0, 0, 0, 0, 0, 7, 22, 110
"c:\Users\Administrator\open-webui\backend\open_webui\models\tools.py", "Python", 0, 0, 187, 0, 0, 0, 0, 0, 0, 24, 52, 263
"c:\Users\Administrator\open-webui\backend\open_webui\models\users.py", "Python", 0, 0, 256, 0, 0, 0, 0, 0, 0, 10, 69, 335
"c:\Users\Administrator\open-webui\backend\open_webui\retrieval\loaders\main.py", "Python", 0, 0, 195, 0, 0, 0, 0, 0, 0, 0, 21, 216
"c:\Users\Administrator\open-webui\backend\open_webui\retrieval\loaders\youtube.py", "Python", 0, 0, 96, 0, 0, 0, 0, 0, 0, 1, 21, 118
"c:\Users\Administrator\open-webui\backend\open_webui\retrieval\models\colbert.py", "Python", 0, 0, 56, 0, 0, 0, 0, 0, 0, 12, 20, 88
"c:\Users\Administrator\open-webui\backend\open_webui\retrieval\utils.py", "Python", 0, 0, 574, 0, 0, 0, 0, 0, 0, 18, 108, 700
"c:\Users\Administrator\open-webui\backend\open_webui\retrieval\vector\connector.py", "Python", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 7, 23
"c:\Users\Administrator\open-webui\backend\open_webui\retrieval\vector\dbs\chroma.py", "Python", 0, 0, 148, 0, 0, 0, 0, 0, 0, 9, 22, 179
"c:\Users\Administrator\open-webui\backend\open_webui\retrieval\vector\dbs\milvus.py", "Python", 0, 0, 245, 0, 0, 0, 0, 0, 0, 13, 40, 298
"c:\Users\Administrator\open-webui\backend\open_webui\retrieval\vector\dbs\opensearch.py", "Python", 0, 0, 170, 0, 0, 0, 0, 0, 0, 4, 33, 207
"c:\Users\Administrator\open-webui\backend\open_webui\retrieval\vector\dbs\pgvector.py", "Python", 0, 0, 338, 0, 0, 0, 0, 0, 0, 16, 50, 404
"c:\Users\Administrator\open-webui\backend\open_webui\retrieval\vector\dbs\qdrant.py", "Python", 0, 0, 155, 0, 0, 0, 0, 0, 0, 7, 28, 190
"c:\Users\Administrator\open-webui\backend\open_webui\retrieval\vector\main.py", "Python", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 7, 20
"c:\Users\Administrator\open-webui\backend\open_webui\retrieval\web\bing.py", "Python", 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 9, 74
"c:\Users\Administrator\open-webui\backend\open_webui\retrieval\web\bocha.py", "Python", 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 11, 66
"c:\Users\Administrator\open-webui\backend\open_webui\retrieval\web\brave.py", "Python", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 9, 43
"c:\Users\Administrator\open-webui\backend\open_webui\retrieval\web\duckduckgo.py", "Python", 0, 0, 34, 0, 0, 0, 0, 0, 0, 5, 8, 47
"c:\Users\Administrator\open-webui\backend\open_webui\retrieval\web\exa.py", "Python", 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 14, 77
"c:\Users\Administrator\open-webui\backend\open_webui\retrieval\web\google_pse.py", "Python", 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 10, 70
"c:\Users\Administrator\open-webui\backend\open_webui\retrieval\web\jina_search.py", "Python", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 11, 49
"c:\Users\Administrator\open-webui\backend\open_webui\retrieval\web\kagi.py", "Python", 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 12, 49
"c:\Users\Administrator\open-webui\backend\open_webui\retrieval\web\main.py", "Python", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 7, 27
"c:\Users\Administrator\open-webui\backend\open_webui\retrieval\web\mojeek.py", "Python", 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 8, 41
"c:\Users\Administrator\open-webui\backend\open_webui\retrieval\web\searchapi.py", "Python", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 11, 49
"c:\Users\Administrator\open-webui\backend\open_webui\retrieval\web\searxng.py", "Python", 0, 0, 72, 0, 0, 0, 0, 0, 0, 3, 17, 92
"c:\Users\Administrator\open-webui\backend\open_webui\retrieval\web\serpapi.py", "Python", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 11, 49
"c:\Users\Administrator\open-webui\backend\open_webui\retrieval\web\serper.py", "Python", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 9, 44
"c:\Users\Administrator\open-webui\backend\open_webui\retrieval\web\serply.py", "Python", 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 12, 70
"c:\Users\Administrator\open-webui\backend\open_webui\retrieval\web\serpstack.py", "Python", 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 9, 49
"c:\Users\Administrator\open-webui\backend\open_webui\retrieval\web\tavily.py", "Python", 0, 0, 34, 0, 0, 0, 0, 0, 0, 1, 10, 45
"c:\Users\Administrator\open-webui\backend\open_webui\retrieval\web\testdata\bing.json", "JSON", 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 1, 59
"c:\Users\Administrator\open-webui\backend\open_webui\retrieval\web\testdata\brave.json", "JSON", 0, 0, 0, 0, 0, 0, 998, 0, 0, 0, 1, 999
"c:\Users\Administrator\open-webui\backend\open_webui\retrieval\web\testdata\google_pse.json", "JSON", 0, 0, 0, 0, 0, 0, 442, 0, 0, 0, 1, 443
"c:\Users\Administrator\open-webui\backend\open_webui\retrieval\web\testdata\searchapi.json", "JSON", 0, 0, 0, 0, 0, 0, 357, 0, 0, 0, 1, 358
"c:\Users\Administrator\open-webui\backend\open_webui\retrieval\web\testdata\searxng.json", "JSON", 0, 0, 0, 0, 0, 0, 476, 0, 0, 0, 1, 477
"c:\Users\Administrator\open-webui\backend\open_webui\retrieval\web\testdata\serper.json", "JSON", 0, 0, 0, 0, 0, 0, 190, 0, 0, 0, 1, 191
"c:\Users\Administrator\open-webui\backend\open_webui\retrieval\web\testdata\serply.json", "JSON", 0, 0, 0, 0, 0, 0, 206, 0, 0, 0, 1, 207
"c:\Users\Administrator\open-webui\backend\open_webui\retrieval\web\testdata\serpstack.json", "JSON", 0, 0, 0, 0, 0, 0, 276, 0, 0, 0, 1, 277
"c:\Users\Administrator\open-webui\backend\open_webui\retrieval\web\utils.py", "Python", 0, 0, 459, 0, 0, 0, 0, 0, 0, 13, 67, 539
"c:\Users\Administrator\open-webui\backend\open_webui\routers\audio.py", "Python", 0, 0, 663, 0, 0, 0, 0, 0, 0, 27, 139, 829
"c:\Users\Administrator\open-webui\backend\open_webui\routers\auths.py", "Python", 0, 0, 676, 0, 0, 0, 0, 0, 0, 39, 136, 851
"c:\Users\Administrator\open-webui\backend\open_webui\routers\channels.py", "Python", 0, 0, 547, 0, 0, 0, 0, 0, 0, 41, 125, 713
"c:\Users\Administrator\open-webui\backend\open_webui\routers\chats.py", "Python", 0, 0, 432, 0, 0, 0, 0, 0, 0, 95, 172, 699
"c:\Users\Administrator\open-webui\backend\open_webui\routers\configs.py", "Python", 0, 0, 174, 0, 0, 0, 0, 0, 0, 18, 55, 247
"c:\Users\Administrator\open-webui\backend\open_webui\routers\evaluations.py", "Python", 0, 0, 113, 0, 0, 0, 0, 0, 0, 6, 41, 160
"c:\Users\Administrator\open-webui\backend\open_webui\routers\files.py", "Python", 0, 0, 295, 0, 0, 0, 0, 0, 0, 33, 65, 393
"c:\Users\Administrator\open-webui\backend\open_webui\routers\folders.py", "Python", 0, 0, 181, 0, 0, 0, 0, 0, 0, 21, 50, 252
"c:\Users\Administrator\open-webui\backend\open_webui\routers\functions.py", "Python", 0, 0, 296, 0, 0, 0, 0, 0, 0, 36, 80, 412
"c:\Users\Administrator\open-webui\backend\open_webui\routers\groups.py", "Python", 0, 0, 90, 0, 0, 0, 0, 0, 0, 15, 27, 132
"c:\Users\Administrator\open-webui\backend\open_webui\routers\images.py", "Python", 0, 0, 573, 0, 0, 0, 0, 0, 0, 4, 96, 673
"c:\Users\Administrator\open-webui\backend\open_webui\routers\knowledge.py", "Python", 0, 0, 501, 0, 0, 0, 0, 0, 0, 49, 119, 669
"c:\Users\Administrator\open-webui\backend\open_webui\routers\memories.py", "Python", 0, 0, 122, 0, 0, 0, 0, 0, 0, 21, 50, 193
"c:\Users\Administrator\open-webui\backend\open_webui\routers\models.py", "Python", 0, 0, 138, 0, 0, 0, 0, 0, 0, 22, 44, 204
"c:\Users\Administrator\open-webui\backend\open_webui\routers\ollama.py", "Python", 0, 0, 1320, 0, 0, 0, 0, 0, 0, 38, 277, 1635
"c:\Users\Administrator\open-webui\backend\open_webui\routers\openai.py", "Python", 0, 0, 666, 0, 0, 0, 0, 0, 0, 39, 122, 827
"c:\Users\Administrator\open-webui\backend\open_webui\routers\pipelines.py", "Python", 0, 0, 387, 0, 0, 0, 0, 0, 0, 20, 94, 501
"c:\Users\Administrator\open-webui\backend\open_webui\routers\prompts.py", "Python", 0, 0, 113, 0, 0, 0, 0, 0, 0, 16, 33, 162
"c:\Users\Administrator\open-webui\backend\open_webui\routers\retrieval.py", "Python", 0, 0, 1461, 0, 0, 0, 0, 0, 0, 41, 218, 1720
"c:\Users\Administrator\open-webui\backend\open_webui\routers\tasks.py", "Python", 0, 0, 568, 0, 0, 0, 0, 0, 0, 27, 105, 700
"c:\Users\Administrator\open-webui\backend\open_webui\routers\tools.py", "Python", 0, 0, 330, 0, 0, 0, 0, 0, 0, 34, 80, 444
"c:\Users\Administrator\open-webui\backend\open_webui\routers\users.py", "Python", 0, 0, 214, 0, 0, 0, 0, 0, 0, 38, 76, 328
"c:\Users\Administrator\open-webui\backend\open_webui\routers\utils.py", "Python", 0, 0, 106, 0, 0, 0, 0, 0, 0, 0, 30, 136
"c:\Users\Administrator\open-webui\backend\open_webui\socket\main.py", "Python", 0, 0, 276, 0, 0, 0, 0, 0, 0, 13, 82, 371
"c:\Users\Administrator\open-webui\backend\open_webui\socket\utils.py", "Python", 0, 0, 66, 0, 0, 0, 0, 0, 0, 2, 20, 88
"c:\Users\Administrator\open-webui\backend\open_webui\static\assets\pdf-style.css", "CSS", 0, 0, 0, 0, 0, 245, 0, 0, 0, 25, 50, 320
"c:\Users\Administrator\open-webui\backend\open_webui\static\loader.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Administrator\open-webui\backend\open_webui\static\swagger-ui\swagger-ui-bundle.js", "JavaScript", 0, 0, 0, 0, 72237, 0, 0, 0, 0, 1, 61, 72299
"c:\Users\Administrator\open-webui\backend\open_webui\static\swagger-ui\swagger-ui.css", "CSS", 0, 0, 0, 0, 0, 9310, 0, 0, 0, 0, 1, 9311
"c:\Users\Administrator\open-webui\backend\open_webui\storage\provider.py", "Python", 0, 0, 264, 0, 0, 0, 0, 0, 0, 14, 50, 328
"c:\Users\Administrator\open-webui\backend\open_webui\tasks.py", "Python", 0, 0, 42, 0, 0, 0, 0, 0, 0, 4, 16, 62
"c:\Users\Administrator\open-webui\backend\open_webui\test\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Administrator\open-webui\backend\open_webui\test\apps\webui\routers\test_auths.py", "Python", 0, 0, 179, 0, 0, 0, 0, 0, 0, 0, 22, 201
"c:\Users\Administrator\open-webui\backend\open_webui\test\apps\webui\routers\test_chats.py", "Python", 0, 0, 208, 0, 0, 0, 0, 0, 0, 0, 29, 237
"c:\Users\Administrator\open-webui\backend\open_webui\test\apps\webui\routers\test_models.py", "Python", 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 11, 62
"c:\Users\Administrator\open-webui\backend\open_webui\test\apps\webui\routers\test_prompts.py", "Python", 0, 0, 73, 0, 0, 0, 0, 0, 0, 8, 11, 92
"c:\Users\Administrator\open-webui\backend\open_webui\test\apps\webui\routers\test_users.py", "Python", 0, 0, 130, 0, 0, 0, 0, 0, 0, 14, 24, 168
"c:\Users\Administrator\open-webui\backend\open_webui\test\apps\webui\storage\test_provider.py", "Python", 0, 0, 339, 0, 0, 0, 0, 0, 0, 23, 63, 425
"c:\Users\Administrator\open-webui\backend\open_webui\test\util\abstract_integration_test.py", "Python", 0, 0, 131, 0, 0, 0, 0, 0, 0, 3, 28, 162
"c:\Users\Administrator\open-webui\backend\open_webui\test\util\mock_user.py", "Python", 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 9, 46
"c:\Users\Administrator\open-webui\backend\open_webui\utils\access_control.py", "Python", 0, 0, 109, 0, 0, 0, 0, 0, 0, 6, 33, 148
"c:\Users\Administrator\open-webui\backend\open_webui\utils\audit.py", "Python", 0, 0, 196, 0, 0, 0, 0, 0, 0, 4, 50, 250
"c:\Users\Administrator\open-webui\backend\open_webui\utils\auth.py", "Python", 0, 0, 179, 0, 0, 0, 0, 0, 0, 9, 60, 248
"c:\Users\Administrator\open-webui\backend\open_webui\utils\chat.py", "Python", 0, 0, 360, 0, 0, 0, 0, 0, 0, 11, 77, 448
"c:\Users\Administrator\open-webui\backend\open_webui\utils\code_interpreter.py", "Python", 0, 0, 127, 0, 0, 0, 0, 0, 0, 2, 20, 149
"c:\Users\Administrator\open-webui\backend\open_webui\utils\filter.py", "Python", 0, 0, 80, 0, 0, 0, 0, 0, 0, 8, 23, 111
"c:\Users\Administrator\open-webui\backend\open_webui\utils\images\comfyui.py", "Python", 0, 0, 163, 0, 0, 0, 0, 0, 0, 0, 31, 194
"c:\Users\Administrator\open-webui\backend\open_webui\utils\logger.py", "Python", 0, 0, 115, 0, 0, 0, 0, 0, 0, 0, 26, 141
"c:\Users\Administrator\open-webui\backend\open_webui\utils\middleware.py", "Python", 0, 0, 1676, 0, 0, 0, 0, 0, 0, 51, 319, 2046
"c:\Users\Administrator\open-webui\backend\open_webui\utils\misc.py", "Python", 0, 0, 317, 0, 0, 0, 0, 0, 0, 29, 107, 453
"c:\Users\Administrator\open-webui\backend\open_webui\utils\models.py", "Python", 0, 0, 205, 0, 0, 0, 0, 0, 0, 4, 38, 247
"c:\Users\Administrator\open-webui\backend\open_webui\utils\oauth.py", "Python", 0, 0, 355, 0, 0, 0, 0, 0, 0, 31, 45, 431
"c:\Users\Administrator\open-webui\backend\open_webui\utils\payload.py", "Python", 0, 0, 169, 0, 0, 0, 0, 0, 0, 27, 47, 243
"c:\Users\Administrator\open-webui\backend\open_webui\utils\pdf_generator.py", "Python", 0, 0, 108, 0, 0, 0, 0, 0, 0, 10, 29, 147
"c:\Users\Administrator\open-webui\backend\open_webui\utils\plugin.py", "Python", 0, 0, 136, 0, 0, 0, 0, 0, 0, 10, 35, 181
"c:\Users\Administrator\open-webui\backend\open_webui\utils\response.py", "Python", 0, 0, 108, 0, 0, 0, 0, 0, 0, 0, 20, 128
"c:\Users\Administrator\open-webui\backend\open_webui\utils\security_headers.py", "Python", 0, 0, 95, 0, 0, 0, 0, 0, 0, 9, 30, 134
"c:\Users\Administrator\open-webui\backend\open_webui\utils\task.py", "Python", 0, 0, 261, 0, 0, 0, 0, 0, 0, 13, 66, 340
"c:\Users\Administrator\open-webui\backend\open_webui\utils\tools.py", "Python", 0, 0, 155, 0, 0, 0, 0, 0, 0, 8, 53, 216
"c:\Users\Administrator\open-webui\backend\open_webui\utils\webhook.py", "Python", 0, 0, 50, 0, 0, 0, 0, 0, 0, 4, 7, 61
"c:\Users\Administrator\open-webui\backend\requirements.txt", "pip requirements", 88, 0, 0, 0, 0, 0, 0, 0, 0, 5, 26, 119
"c:\Users\Administrator\open-webui\backend\start.sh", "Shell Script", 0, 52, 0, 0, 0, 0, 0, 0, 0, 4, 13, 69
"c:\Users\Administrator\open-webui\backend\start_windows.bat", "Batch", 0, 0, 0, 30, 0, 0, 0, 0, 0, 6, 9, 45
"Total", "-", 88, 54, 28897, 30, 72237, 9555, 3003, 90, 13, 1776, 6900, 122643
