Date : 2025-03-03 12:41:44
Directory : c:\Users\Administrator\open-webui\src
Total : 428 files,  123270 codes, 866 comments, 8358 blanks, all 132494 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\Administrator\open-webui\src\lib\components\admin\Users\Groups\Permissions.svelte                        | Svelte     |        137 |        101 |         33 |        271 |
| c:\Users\Administrator\open-webui\src\lib\components\admin\Users\Groups\Users.svelte                              | Svelte     |        107 |          0 |         16 |        123 |
| c:\Users\Administrator\open-webui\src\lib\components\admin\Users\UserList.svelte                                  | Svelte     |        412 |          0 |         45 |        457 |
| c:\Users\Administrator\open-webui\src\lib\components\admin\Users\UserList\AddUserModal.svelte                     | Svelte     |        304 |          0 |         43 |        347 |
| c:\Users\Administrator\open-webui\src\lib\components\admin\Users\UserList\EditUserModal.svelte                    | Svelte     |        153 |          0 |         25 |        178 |
| c:\Users\Administrator\open-webui\src\lib\components\admin\Users\UserList\UserChatsModal.svelte                   | Svelte     |        169 |          5 |         15 |        189 |
| c:\Users\Administrator\open-webui\src\lib\components\app\AppSidebar.svelte                                        | Svelte     |         53 |          5 |          8 |         66 |
| c:\Users\Administrator\open-webui\src\lib\components\channel\Channel.svelte                                       | Svelte     |        257 |          0 |         46 |        303 |
| c:\Users\Administrator\open-webui\src\lib\components\channel\MessageInput.svelte                                  | Svelte     |        537 |          0 |         65 |        602 |
| c:\Users\Administrator\open-webui\src\lib\components\channel\MessageInput\InputMenu.svelte                        | Svelte     |         66 |          0 |         12 |         78 |
| c:\Users\Administrator\open-webui\src\lib\components\channel\Messages.svelte                                      | Svelte     |        169 |          0 |         26 |        195 |
| c:\Users\Administrator\open-webui\src\lib\components\channel\Messages\Message.svelte                              | Svelte     |        313 |          2 |         29 |        344 |
| c:\Users\Administrator\open-webui\src\lib\components\channel\Messages\Message\ProfilePreview.svelte               | Svelte     |         75 |          0 |         11 |         86 |
| c:\Users\Administrator\open-webui\src\lib\components\channel\Messages\Message\ReactionPicker.svelte               | Svelte     |        159 |          3 |          5 |        167 |
| c:\Users\Administrator\open-webui\src\lib\components\channel\Navbar.svelte                                        | Svelte     |         77 |          0 |         10 |         87 |
| c:\Users\Administrator\open-webui\src\lib\components\channel\Thread.svelte                                        | Svelte     |        171 |          0 |         34 |        205 |
| c:\Users\Administrator\open-webui\src\lib\components\chat\Artifacts.svelte                                        | Svelte     |        288 |          0 |         35 |        323 |
| c:\Users\Administrator\open-webui\src\lib\components\chat\Chat.svelte                                             | Svelte     |      1,829 |          1 |        290 |      2,120 |
| c:\Users\Administrator\open-webui\src\lib\components\chat\ChatControls.svelte                                     | Svelte     |        247 |          1 |         35 |        283 |
| c:\Users\Administrator\open-webui\src\lib\components\chat\ChatPlaceholder.svelte                                  | Svelte     |        125 |          0 |         16 |        141 |
| c:\Users\Administrator\open-webui\src\lib\components\chat\ContentRenderer\FloatingButtons.svelte                  | Svelte     |        298 |          0 |         42 |        340 |
| c:\Users\Administrator\open-webui\src\lib\components\chat\Controls\Controls.svelte                                | Svelte     |         87 |          0 |         13 |        100 |
| c:\Users\Administrator\open-webui\src\lib\components\chat\Controls\Valves.svelte                                  | Svelte     |        182 |          0 |         32 |        214 |
| c:\Users\Administrator\open-webui\src\lib\components\chat\MessageInput.svelte                                     | Svelte     |      1,230 |          0 |        158 |      1,388 |
| c:\Users\Administrator\open-webui\src\lib\components\chat\MessageInput\CallOverlay.svelte                         | Svelte     |        856 |          1 |        139 |        996 |
| c:\Users\Administrator\open-webui\src\lib\components\chat\MessageInput\CallOverlay\VideoInputMenu.svelte          | Svelte     |         45 |          0 |          7 |         52 |
| c:\Users\Administrator\open-webui\src\lib\components\chat\MessageInput\Commands.svelte                            | Svelte     |        108 |          0 |         17 |        125 |
| c:\Users\Administrator\open-webui\src\lib\components\chat\MessageInput\Commands\Knowledge.svelte                  | Svelte     |        248 |         41 |         33 |        322 |
| c:\Users\Administrator\open-webui\src\lib\components\chat\MessageInput\Commands\Models.svelte                     | Svelte     |         92 |          0 |         15 |        107 |
| c:\Users\Administrator\open-webui\src\lib\components\chat\MessageInput\Commands\Prompts.svelte                    | Svelte     |        177 |          0 |         31 |        208 |
| c:\Users\Administrator\open-webui\src\lib\components\chat\MessageInput\FilesOverlay.svelte                        | Svelte     |         32 |          0 |          4 |         36 |
| c:\Users\Administrator\open-webui\src\lib\components\chat\MessageInput\InputMenu.svelte                           | Svelte     |        296 |          1 |         27 |        324 |
| c:\Users\Administrator\open-webui\src\lib\components\chat\MessageInput\VoiceRecording.svelte                      | Svelte     |        437 |          0 |         82 |        519 |
| c:\Users\Administrator\open-webui\src\lib\components\chat\Messages.svelte                                         | Svelte     |        359 |          0 |         77 |        436 |
| c:\Users\Administrator\open-webui\src\lib\components\chat\Messages\Citations.svelte                               | Svelte     |        187 |          0 |         20 |        207 |
| c:\Users\Administrator\open-webui\src\lib\components\chat\Messages\CitationsModal.svelte                          | Svelte     |        167 |          0 |         11 |        178 |
| c:\Users\Administrator\open-webui\src\lib\components\chat\Messages\CodeBlock.svelte                               | Svelte     |        448 |          0 |         75 |        523 |
| c:\Users\Administrator\open-webui\src\lib\components\chat\Messages\CodeExecutionModal.svelte                      | Svelte     |        112 |          0 |          7 |        119 |
| c:\Users\Administrator\open-webui\src\lib\components\chat\Messages\CodeExecutions.svelte                          | Svelte     |         72 |          0 |          9 |         81 |
| c:\Users\Administrator\open-webui\src\lib\components\chat\Messages\ContentRenderer.svelte                         | Svelte     |        151 |          0 |         32 |        183 |
| c:\Users\Administrator\open-webui\src\lib\components\chat\Messages\Error.svelte                                   | Svelte     |         12 |          0 |          4 |         16 |
| c:\Users\Administrator\open-webui\src\lib\components\chat\Messages\Markdown.svelte                                | Svelte     |         45 |          0 |         12 |         57 |
| c:\Users\Administrator\open-webui\src\lib\components\chat\Messages\Markdown\KatexRenderer.svelte                  | Svelte     |          8 |          0 |          3 |         11 |
| c:\Users\Administrator\open-webui\src\lib\components\chat\Messages\Markdown\MarkdownInlineTokens.svelte           | Svelte     |         71 |          2 |          7 |         80 |
| c:\Users\Administrator\open-webui\src\lib\components\chat\Messages\Markdown\MarkdownTokens.svelte                 | Svelte     |        291 |          1 |         23 |        315 |
| c:\Users\Administrator\open-webui\src\lib\components\chat\Messages\Markdown\Source.svelte                         | Svelte     |         41 |          0 |         10 |         51 |
| c:\Users\Administrator\open-webui\src\lib\components\chat\Messages\Message.svelte                                 | Svelte     |         98 |          0 |         12 |        110 |
| c:\Users\Administrator\open-webui\src\lib\components\chat\Messages\MultiResponseMessages.svelte                   | Svelte     |        260 |          2 |         49 |        311 |
| c:\Users\Administrator\open-webui\src\lib\components\chat\Messages\Name.svelte                                    | Svelte     |          3 |          0 |          1 |          4 |
| c:\Users\Administrator\open-webui\src\lib\components\chat\Messages\ProfileImage.svelte                            | Svelte     |         19 |          0 |          3 |         22 |
| c:\Users\Administrator\open-webui\src\lib\components\chat\Messages\RateComment.svelte                             | Svelte     |        226 |          2 |         31 |        259 |
| c:\Users\Administrator\open-webui\src\lib\components\chat\Messages\ResponseMessage.svelte                         | Svelte     |      1,214 |          6 |        140 |      1,360 |
| c:\Users\Administrator\open-webui\src\lib\components\chat\Messages\ResponseMessage\WebSearchResults.svelte        | Svelte     |         84 |          2 |          8 |         94 |
| c:\Users\Administrator\open-webui\src\lib\components\chat\Messages\Skeleton.svelte                                | Svelte     |         42 |          0 |          4 |         46 |
| c:\Users\Administrator\open-webui\src\lib\components\chat\Messages\UserMessage.svelte                             | Svelte     |        396 |          0 |         42 |        438 |
| c:\Users\Administrator\open-webui\src\lib\components\chat\ModelSelector.svelte                                    | Svelte     |        108 |          0 |         10 |        118 |
| c:\Users\Administrator\open-webui\src\lib\components\chat\ModelSelector\Selector.svelte                           | Svelte     |        558 |          1 |         60 |        619 |
| c:\Users\Administrator\open-webui\src\lib\components\chat\Navbar.svelte                                           | Svelte     |        177 |          1 |         17 |        195 |
| c:\Users\Administrator\open-webui\src\lib\components\chat\Overview.svelte                                         | Svelte     |        165 |          0 |         35 |        200 |
| c:\Users\Administrator\open-webui\src\lib\components\chat\Overview\Flow.svelte                                    | Svelte     |         32 |          0 |          5 |         37 |
| c:\Users\Administrator\open-webui\src\lib\components\chat\Overview\Node.svelte                                    | Svelte     |         75 |          0 |          8 |         83 |
| c:\Users\Administrator\open-webui\src\lib\components\chat\Placeholder.svelte                                      | Svelte     |        194 |          0 |         34 |        228 |
| c:\Users\Administrator\open-webui\src\lib\components\chat\SettingsModal.svelte                                    | Svelte     |        694 |          0 |         23 |        717 |
| c:\Users\Administrator\open-webui\src\lib\components\chat\Settings\About.svelte                                   | Svelte     |        159 |          0 |         28 |        187 |
| c:\Users\Administrator\open-webui\src\lib\components\chat\Settings\Account.svelte                                 | Svelte     |        394 |          1 |         52 |        447 |
| c:\Users\Administrator\open-webui\src\lib\components\chat\Settings\Account\UpdatePassword.svelte                  | Svelte     |         99 |          0 |         14 |        113 |
| c:\Users\Administrator\open-webui\src\lib\components\chat\Settings\Advanced\AdvancedParams.svelte                 | Svelte     |      1,257 |         32 |         73 |      1,362 |
| c:\Users\Administrator\open-webui\src\lib\components\chat\Settings\Audio.svelte                                   | Svelte     |        337 |          0 |         52 |        389 |
| c:\Users\Administrator\open-webui\src\lib\components\chat\Settings\Chats.svelte                                   | Svelte     |        308 |          0 |         25 |        333 |
| c:\Users\Administrator\open-webui\src\lib\components\chat\Settings\Connections.svelte                             | Svelte     |        135 |          0 |         22 |        157 |
| c:\Users\Administrator\open-webui\src\lib\components\chat\Settings\Connections\Connection.svelte                  | Svelte     |         75 |          0 |         10 |         85 |
| c:\Users\Administrator\open-webui\src\lib\components\chat\Settings\General.svelte                                 | Svelte     |        327 |         12 |         44 |        383 |
| c:\Users\Administrator\open-webui\src\lib\components\chat\Settings\Interface.svelte                               | Svelte     |        673 |         21 |        103 |        797 |
| c:\Users\Administrator\open-webui\src\lib\components\chat\Settings\Personalization.svelte                         | Svelte     |         77 |          8 |         14 |         99 |
| c:\Users\Administrator\open-webui\src\lib\components\chat\Settings\Personalization\AddMemoryModal.svelte          | Svelte     |        112 |          0 |         15 |        127 |
| c:\Users\Administrator\open-webui\src\lib\components\chat\Settings\Personalization\EditMemoryModal.svelte         | Svelte     |        118 |          0 |         19 |        137 |
| c:\Users\Administrator\open-webui\src\lib\components\chat\Settings\Personalization\ManageModal.svelte             | Svelte     |        212 |          0 |         19 |        231 |
| c:\Users\Administrator\open-webui\src\lib\components\chat\ShareChatModal.svelte                                   | Svelte     |        179 |          0 |         24 |        203 |
| c:\Users\Administrator\open-webui\src\lib\components\chat\ShortcutsModal.svelte                                   | Svelte     |        278 |          0 |         48 |        326 |
| c:\Users\Administrator\open-webui\src\lib\components\chat\Suggestions.svelte                                      | Svelte     |        118 |          1 |         17 |        136 |
| c:\Users\Administrator\open-webui\src\lib\components\chat\TagChatModal.svelte                                     | Svelte     |         23 |          0 |          6 |         29 |
| c:\Users\Administrator\open-webui\src\lib\components\chat\Tags.svelte                                             | Svelte     |         71 |          0 |         12 |         83 |
| c:\Users\Administrator\open-webui\src\lib\components\common\Badge.svelte                                          | Svelte     |         17 |          0 |          3 |         20 |
| c:\Users\Administrator\open-webui\src\lib\components\common\Banner.svelte                                         | Svelte     |        113 |          2 |         14 |        129 |
| c:\Users\Administrator\open-webui\src\lib\components\common\Checkbox.svelte                                       | Svelte     |         65 |          1 |          6 |         72 |
| c:\Users\Administrator\open-webui\src\lib\components\common\CodeEditor.svelte                                     | Svelte     |        164 |          0 |         38 |        202 |
| c:\Users\Administrator\open-webui\src\lib\components\common\Collapsible.svelte                                    | Svelte     |        128 |          4 |         16 |        148 |
| c:\Users\Administrator\open-webui\src\lib\components\common\ConfirmDialog.svelte                                  | Svelte     |        129 |          2 |         21 |        152 |
| c:\Users\Administrator\open-webui\src\lib\components\common\DragGhost.svelte                                      | Svelte     |         22 |          2 |          7 |         31 |
| c:\Users\Administrator\open-webui\src\lib\components\common\Drawer.svelte                                         | Svelte     |         79 |          2 |         14 |         95 |
| c:\Users\Administrator\open-webui\src\lib\components\common\Dropdown.svelte                                       | Svelte     |         40 |          0 |          7 |         47 |
| c:\Users\Administrator\open-webui\src\lib\components\common\FileItem.svelte                                       | Svelte     |        127 |          8 |         16 |        151 |
| c:\Users\Administrator\open-webui\src\lib\components\common\FileItemModal.svelte                                  | Svelte     |        114 |          0 |         14 |        128 |
| c:\Users\Administrator\open-webui\src\lib\components\common\Folder.svelte                                         | Svelte     |        148 |          1 |         28 |        177 |
| c:\Users\Administrator\open-webui\src\lib\components\common\Image.svelte                                          | Svelte     |         21 |          0 |          7 |         28 |
| c:\Users\Administrator\open-webui\src\lib\components\common\ImagePreview.svelte                                   | Svelte     |         98 |          2 |         12 |        112 |
| c:\Users\Administrator\open-webui\src\lib\components\common\Loader.svelte                                         | Svelte     |         39 |          0 |          8 |         47 |
| c:\Users\Administrator\open-webui\src\lib\components\common\Marquee.svelte                                        | Svelte     |         26 |          0 |          5 |         31 |
| c:\Users\Administrator\open-webui\src\lib\components\common\Modal.svelte                                          | Svelte     |         90 |          2 |         13 |        105 |
| c:\Users\Administrator\open-webui\src\lib\components\common\Overlay.svelte                                        | Svelte     |         27 |          0 |          7 |         34 |
| c:\Users\Administrator\open-webui\src\lib\components\common\Pagination.svelte                                     | Svelte     |         39 |          0 |          4 |         43 |
| c:\Users\Administrator\open-webui\src\lib\components\common\RichTextInput.svelte                                  | Svelte     |        332 |          0 |         48 |        380 |
| c:\Users\Administrator\open-webui\src\lib\components\common\RichTextInput\AutoCompletion.js                       | JavaScript |        202 |         67 |         31 |        300 |
| c:\Users\Administrator\open-webui\src\lib\components\common\SVGPanZoom.svelte                                     | Svelte     |         79 |          0 |         16 |         95 |
| c:\Users\Administrator\open-webui\src\lib\components\common\Selector.svelte                                       | Svelte     |         83 |          0 |         13 |         96 |
| c:\Users\Administrator\open-webui\src\lib\components\common\SensitiveInput.svelte                                 | Svelte     |         62 |          0 |          3 |         65 |
| c:\Users\Administrator\open-webui\src\lib\components\common\Sidebar.svelte                                        | Svelte     |         25 |          1 |          5 |         31 |
| c:\Users\Administrator\open-webui\src\lib\components\common\SlideShow.svelte                                      | Svelte     |         35 |          0 |          5 |         40 |
| c:\Users\Administrator\open-webui\src\lib\components\common\Spinner.svelte                                        | Svelte     |         24 |          0 |          2 |         26 |
| c:\Users\Administrator\open-webui\src\lib\components\common\Switch.svelte                                         | Svelte     |         17 |          0 |          4 |         21 |
| c:\Users\Administrator\open-webui\src\lib\components\common\Tags.svelte                                           | Svelte     |         22 |          0 |          5 |         27 |
| c:\Users\Administrator\open-webui\src\lib\components\common\Tags\TagInput.svelte                                  | Svelte     |         81 |          0 |          8 |         89 |
| c:\Users\Administrator\open-webui\src\lib\components\common\Tags\TagList.svelte                                   | Svelte     |         30 |          0 |          3 |         33 |
| c:\Users\Administrator\open-webui\src\lib\components\common\Textarea.svelte                                       | Svelte     |         45 |          0 |          7 |         52 |
| c:\Users\Administrator\open-webui\src\lib\components\common\Tooltip.svelte                                        | Svelte     |         45 |          0 |          8 |         53 |
| c:\Users\Administrator\open-webui\src\lib\components\common\Valves.svelte                                         | Svelte     |         99 |          1 |         10 |        110 |
| c:\Users\Administrator\open-webui\src\lib\components\icons\AdjustmentsHorizontal.svelte                           | Svelte     |         16 |          0 |          2 |         18 |
| c:\Users\Administrator\open-webui\src\lib\components\icons\ArchiveBox.svelte                                      | Svelte     |         18 |          0 |          2 |         20 |
| c:\Users\Administrator\open-webui\src\lib\components\icons\ArrowDownTray.svelte                                   | Svelte     |         18 |          0 |          2 |         20 |
| c:\Users\Administrator\open-webui\src\lib\components\icons\ArrowLeft.svelte                                       | Svelte     |         14 |          0 |          2 |         16 |
| c:\Users\Administrator\open-webui\src\lib\components\icons\ArrowPath.svelte                                       | Svelte     |         18 |          0 |          2 |         20 |
| c:\Users\Administrator\open-webui\src\lib\components\icons\ArrowRight.svelte                                      | Svelte     |         14 |          0 |          2 |         16 |
| c:\Users\Administrator\open-webui\src\lib\components\icons\ArrowRightCircle.svelte                                | Svelte     |         18 |          0 |          2 |         20 |
| c:\Users\Administrator\open-webui\src\lib\components\icons\ArrowUpCircle.svelte                                   | Svelte     |         18 |          0 |          2 |         20 |
| c:\Users\Administrator\open-webui\src\lib\components\icons\ArrowsPointingOut.svelte                               | Svelte     |         18 |          0 |          2 |         20 |
| c:\Users\Administrator\open-webui\src\lib\components\icons\BarsArrowUp.svelte                                     | Svelte     |         18 |          0 |          2 |         20 |
| c:\Users\Administrator\open-webui\src\lib\components\icons\Bolt.svelte                                            | Svelte     |         18 |          0 |          2 |         20 |
| c:\Users\Administrator\open-webui\src\lib\components\icons\BookOpen.svelte                                        | Svelte     |         18 |          0 |          2 |         20 |
| c:\Users\Administrator\open-webui\src\lib\components\icons\Bookmark.svelte                                        | Svelte     |         18 |          0 |          2 |         20 |
| c:\Users\Administrator\open-webui\src\lib\components\icons\BookmarkSlash.svelte                                   | Svelte     |         18 |          0 |          2 |         20 |
| c:\Users\Administrator\open-webui\src\lib\components\icons\CameraSolid.svelte                                     | Svelte     |         11 |          0 |          2 |         13 |
| c:\Users\Administrator\open-webui\src\lib\components\icons\ChartBar.svelte                                        | Svelte     |          9 |          0 |          2 |         11 |
| c:\Users\Administrator\open-webui\src\lib\components\icons\ChatBubble.svelte                                      | Svelte     |         18 |          0 |          2 |         20 |
| c:\Users\Administrator\open-webui\src\lib\components\icons\ChatBubbleOval.svelte                                  | Svelte     |         18 |          0 |          2 |         20 |
| c:\Users\Administrator\open-webui\src\lib\components\icons\ChatBubbleOvalEllipsis.svelte                          | Svelte     |         18 |          0 |          2 |         20 |
| c:\Users\Administrator\open-webui\src\lib\components\icons\ChatBubbles.svelte                                     | Svelte     |         18 |          0 |          2 |         20 |
| c:\Users\Administrator\open-webui\src\lib\components\icons\Check.svelte                                           | Svelte     |         14 |          0 |          2 |         16 |
| c:\Users\Administrator\open-webui\src\lib\components\icons\ChevronDown.svelte                                     | Svelte     |         14 |          0 |          2 |         16 |
| c:\Users\Administrator\open-webui\src\lib\components\icons\ChevronLeft.svelte                                     | Svelte     |         14 |          0 |          2 |         16 |
| c:\Users\Administrator\open-webui\src\lib\components\icons\ChevronRight.svelte                                    | Svelte     |         14 |          0 |          2 |         16 |
| c:\Users\Administrator\open-webui\src\lib\components\icons\ChevronUp.svelte                                       | Svelte     |         14 |          0 |          2 |         16 |
| c:\Users\Administrator\open-webui\src\lib\components\icons\ChevronUpDown.svelte                                   | Svelte     |         18 |          0 |          2 |         20 |
| c:\Users\Administrator\open-webui\src\lib\components\icons\Clipboard.svelte                                       | Svelte     |         18 |          0 |          2 |         20 |
| c:\Users\Administrator\open-webui\src\lib\components\icons\CloudArrowUp.svelte                                    | Svelte     |         18 |          0 |          2 |         20 |
| c:\Users\Administrator\open-webui\src\lib\components\icons\Cog6.svelte                                            | Svelte     |         19 |          0 |          2 |         21 |
| c:\Users\Administrator\open-webui\src\lib\components\icons\Cog6Solid.svelte                                       | Svelte     |         11 |          0 |          2 |         13 |
| c:\Users\Administrator\open-webui\src\lib\components\icons\CommandLine.svelte                                     | Svelte     |         18 |          0 |          2 |         20 |
| c:\Users\Administrator\open-webui\src\lib\components\icons\CommandLineSolid.svelte                                | Svelte     |         10 |          0 |          2 |         12 |
| c:\Users\Administrator\open-webui\src\lib\components\icons\Cube.svelte                                            | Svelte     |         18 |          0 |          2 |         20 |
| c:\Users\Administrator\open-webui\src\lib\components\icons\Document.svelte                                        | Svelte     |         18 |          0 |          2 |         20 |
| c:\Users\Administrator\open-webui\src\lib\components\icons\DocumentArrowDown.svelte                               | Svelte     |         18 |          0 |          2 |         20 |
| c:\Users\Administrator\open-webui\src\lib\components\icons\DocumentArrowUpSolid.svelte                            | Svelte     |         13 |          0 |          2 |         15 |
| c:\Users\Administrator\open-webui\src\lib\components\icons\DocumentChartBar.svelte                                | Svelte     |         14 |          0 |          2 |         16 |
| c:\Users\Administrator\open-webui\src\lib\components\icons\DocumentDuplicate.svelte                               | Svelte     |         18 |          0 |          2 |         20 |
| c:\Users\Administrator\open-webui\src\lib\components\icons\Download.svelte                                        | Svelte     |         18 |          0 |          2 |         20 |
| c:\Users\Administrator\open-webui\src\lib\components\icons\EllipsisHorizontal.svelte                              | Svelte     |         18 |          0 |          2 |         20 |
| c:\Users\Administrator\open-webui\src\lib\components\icons\EllipsisVertical.svelte                                | Svelte     |         18 |          0 |          2 |         20 |
| c:\Users\Administrator\open-webui\src\lib\components\icons\EyeSlash.svelte                                        | Svelte     |         18 |          0 |          2 |         20 |
| c:\Users\Administrator\open-webui\src\lib\components\icons\FaceSmile.svelte                                       | Svelte     |         18 |          0 |          2 |         20 |
| c:\Users\Administrator\open-webui\src\lib\components\icons\FloppyDisk.svelte                                      | Svelte     |         19 |          0 |          2 |         21 |
| c:\Users\Administrator\open-webui\src\lib\components\icons\FolderOpen.svelte                                      | Svelte     |         18 |          0 |          2 |         20 |
| c:\Users\Administrator\open-webui\src\lib\components\icons\GarbageBin.svelte                                      | Svelte     |         18 |          0 |          2 |         20 |
| c:\Users\Administrator\open-webui\src\lib\components\icons\GlobeAlt.svelte                                        | Svelte     |         18 |          0 |          2 |         20 |
| c:\Users\Administrator\open-webui\src\lib\components\icons\GlobeAltSolid.svelte                                   | Svelte     |          8 |          0 |          2 |         10 |
| c:\Users\Administrator\open-webui\src\lib\components\icons\Headphone.svelte                                       | Svelte     |         19 |          0 |          2 |         21 |
| c:\Users\Administrator\open-webui\src\lib\components\icons\Heart.svelte                                           | Svelte     |         18 |          0 |          2 |         20 |
| c:\Users\Administrator\open-webui\src\lib\components\icons\Home.svelte                                            | Svelte     |         22 |          0 |          2 |         24 |
| c:\Users\Administrator\open-webui\src\lib\components\icons\Info.svelte                                            | Svelte     |         18 |          0 |          2 |         20 |
| c:\Users\Administrator\open-webui\src\lib\components\icons\Keyboard.svelte                                        | Svelte     |         18 |          0 |          2 |         20 |
| c:\Users\Administrator\open-webui\src\lib\components\icons\Lifebuoy.svelte                                        | Svelte     |         18 |          0 |          2 |         20 |
| c:\Users\Administrator\open-webui\src\lib\components\icons\LightBlub.svelte                                       | Svelte     |         18 |          0 |          2 |         20 |
| c:\Users\Administrator\open-webui\src\lib\components\icons\Link.svelte                                            | Svelte     |         15 |          0 |          2 |         17 |
| c:\Users\Administrator\open-webui\src\lib\components\icons\LockClosed.svelte                                      | Svelte     |         18 |          0 |          2 |         20 |
| c:\Users\Administrator\open-webui\src\lib\components\icons\MagnifyingGlass.svelte                                 | Svelte     |         18 |          0 |          2 |         20 |
| c:\Users\Administrator\open-webui\src\lib\components\icons\Map.svelte                                             | Svelte     |         18 |          0 |          2 |         20 |
| c:\Users\Administrator\open-webui\src\lib\components\icons\MenuLines.svelte                                       | Svelte     |         18 |          0 |          2 |         20 |
| c:\Users\Administrator\open-webui\src\lib\components\icons\Merge.svelte                                           | Svelte     |         18 |          0 |          2 |         20 |
| c:\Users\Administrator\open-webui\src\lib\components\icons\Mic.svelte                                             | Svelte     |          9 |          0 |          2 |         11 |
| c:\Users\Administrator\open-webui\src\lib\components\icons\Minus.svelte                                           | Svelte     |         14 |          0 |          2 |         16 |
| c:\Users\Administrator\open-webui\src\lib\components\icons\Pencil.svelte                                          | Svelte     |         18 |          0 |          2 |         20 |
| c:\Users\Administrator\open-webui\src\lib\components\icons\PencilSolid.svelte                                     | Svelte     |          9 |          0 |          2 |         11 |
| c:\Users\Administrator\open-webui\src\lib\components\icons\PencilSquare.svelte                                    | Svelte     |         18 |          0 |          2 |         20 |
| c:\Users\Administrator\open-webui\src\lib\components\icons\Photo.svelte                                           | Svelte     |         20 |          0 |          2 |         22 |
| c:\Users\Administrator\open-webui\src\lib\components\icons\PhotoSolid.svelte                                      | Svelte     |         10 |          0 |          2 |         12 |
| c:\Users\Administrator\open-webui\src\lib\components\icons\Plus.svelte                                            | Svelte     |         14 |          0 |          2 |         16 |
| c:\Users\Administrator\open-webui\src\lib\components\icons\QuestionMarkCircle.svelte                              | Svelte     |         18 |          0 |          2 |         20 |
| c:\Users\Administrator\open-webui\src\lib\components\icons\Reset.svelte                                           | Svelte     |         18 |          0 |          2 |         20 |
| c:\Users\Administrator\open-webui\src\lib\components\icons\Search.svelte                                          | Svelte     |         18 |          0 |          2 |         20 |
| c:\Users\Administrator\open-webui\src\lib\components\icons\Share.svelte                                           | Svelte     |         10 |          0 |          2 |         12 |
| c:\Users\Administrator\open-webui\src\lib\components\icons\Sparkles.svelte                                        | Svelte     |         18 |          0 |          2 |         20 |
| c:\Users\Administrator\open-webui\src\lib\components\icons\SparklesSolid.svelte                                   | Svelte     |         11 |          0 |          2 |         13 |
| c:\Users\Administrator\open-webui\src\lib\components\icons\Star.svelte                                            | Svelte     |         18 |          0 |          2 |         20 |
| c:\Users\Administrator\open-webui\src\lib\components\icons\User.svelte                                            | Svelte     |         10 |          0 |          2 |         12 |
| c:\Users\Administrator\open-webui\src\lib\components\icons\UserCircleSolid.svelte                                 | Svelte     |         10 |          0 |          2 |         12 |
| c:\Users\Administrator\open-webui\src\lib\components\icons\UserPlusSolid.svelte                                   | Svelte     |          8 |          0 |          2 |         10 |
| c:\Users\Administrator\open-webui\src\lib\components\icons\UsersSolid.svelte                                      | Svelte     |          8 |          0 |          2 |         10 |
| c:\Users\Administrator\open-webui\src\lib\components\icons\Wrench.svelte                                          | Svelte     |         19 |          0 |          2 |         21 |
| c:\Users\Administrator\open-webui\src\lib\components\icons\WrenchSolid.svelte                                     | Svelte     |         10 |          0 |          2 |         12 |
| c:\Users\Administrator\open-webui\src\lib\components\icons\XMark.svelte                                           | Svelte     |         14 |          0 |          2 |         16 |
| c:\Users\Administrator\open-webui\src\lib\components\layout\Help.svelte                                           | Svelte     |         34 |          0 |          7 |         41 |
| c:\Users\Administrator\open-webui\src\lib\components\layout\Help\HelpMenu.svelte                                  | Svelte     |         53 |          0 |          8 |         61 |
| c:\Users\Administrator\open-webui\src\lib\components\layout\Navbar.svelte                                         | Svelte     |        180 |          1 |         15 |        196 |
| c:\Users\Administrator\open-webui\src\lib\components\layout\Navbar\Menu.svelte                                    | Svelte     |        230 |         27 |         36 |        293 |
| c:\Users\Administrator\open-webui\src\lib\components\layout\Overlay\AccountPending.svelte                         | Svelte     |         54 |          0 |          9 |         63 |
| c:\Users\Administrator\open-webui\src\lib\components\layout\Sidebar.svelte                                        | Svelte     |        768 |         44 |        115 |        927 |
| c:\Users\Administrator\open-webui\src\lib\components\layout\Sidebar\ArchivedChatsModal.svelte                     | Svelte     |        233 |          0 |         23 |        256 |
| c:\Users\Administrator\open-webui\src\lib\components\layout\Sidebar\ChannelItem.svelte                            | Svelte     |         82 |          0 |         13 |         95 |
| c:\Users\Administrator\open-webui\src\lib\components\layout\Sidebar\ChannelModal.svelte                           | Svelte     |        175 |          0 |         26 |        201 |
| c:\Users\Administrator\open-webui\src\lib\components\layout\Sidebar\ChatItem.svelte                               | Svelte     |        389 |          2 |         49 |        440 |
| c:\Users\Administrator\open-webui\src\lib\components\layout\Sidebar\ChatMenu.svelte                               | Svelte     |        240 |          0 |         38 |        278 |
| c:\Users\Administrator\open-webui\src\lib\components\layout\Sidebar\Folders.svelte                                | Svelte     |         32 |          0 |          4 |         36 |
| c:\Users\Administrator\open-webui\src\lib\components\layout\Sidebar\Folders\FolderMenu.svelte                     | Svelte     |         62 |          0 |          9 |         71 |
| c:\Users\Administrator\open-webui\src\lib\components\layout\Sidebar\RecursiveFolder.svelte                        | Svelte     |        424 |          1 |         71 |        496 |
